MoMo更新,#genre#
CCTV-2财经,http://117.90.94.196:6000/rtp/239.49.8.130:6000
CCTV-2财经,http://117.90.94.196:6000/rtp/239.49.8.50:9802
凤凰中文,http://183.151.27.135:4022/udp/233.50.200.191:5140
凤凰资讯,http://183.151.27.135:4022/udp/233.50.200.192:5140
CCTV-2财经,http://183.151.27.135:4022/udp/233.50.200.25:5140
上海第一财经,http://183.151.27.135:4022/udp/233.50.200.125:5140
凤凰中文,http://125.126.132.138:3000/udp/233.50.200.191:5140
凤凰资讯,http://125.126.132.138:3000/udp/233.50.200.192:5140
CCTV-2财经,http://125.126.132.138:3000/udp/233.50.200.25:5140
上海第一财经,http://125.126.132.138:3000/udp/233.50.200.125:5140

4K 频道,#genre#
CCTV4K,http://124.77.192.71:4022/rtp/233.18.204.188:5140
CCTV4K,http://124.77.192.71:4022/rtp/233.18.204.204:5140
CCTV16 4K,http://124.77.192.71:4022/rtp/233.18.204.114:5140
CCTV16 4K,http://124.77.192.71:4022/rtp/233.18.204.215:5140
北京卫视4K,http://124.77.192.71:4022/rtp/233.18.204.209:5140
东方卫视4K,http://124.77.192.71:4022/rtp/233.18.204.224:5140
广东卫视4K,http://124.77.192.71:4022/rtp/233.18.204.218:5140
深圳卫视4K,http://124.77.192.71:4022/rtp/233.18.204.219:5140
湖南卫视4K,http://124.77.192.71:4022/rtp/233.18.204.227:5140
山东卫视4K,http://124.77.192.71:4022/rtp/233.18.204.228:5140
四川卫视4K,http://124.77.192.71:4022/rtp/233.18.204.225:5140
浙江卫视4K,http://124.77.192.71:4022/rtp/233.18.204.229:5140
江苏卫视4K,http://124.77.192.71:4022/rtp/233.18.204.226:5140
欢笑剧场4K,http://124.77.192.71:4022/rtp/233.18.204.115:5140
欢笑剧场4K,http://124.77.192.71:4022/rtp/233.18.204.205:5140
BesTV4K动画,http://124.77.192.71:4022/rtp/233.18.204.171:5140
BesTV4K电影,http://124.77.192.71:4022/rtp/233.18.204.169:5140
BesTV4K记录,http://124.77.192.71:4022/rtp/233.18.204.170:5140
天翼高清4K,http://124.77.192.71:4022/rtp/233.18.204.201:5140
四川卫视4KHD,http://124.77.192.71:4022/rtp/233.18.204.99:5140
浙江卫视4K,http://39.84.70.176:4000/udp/239.253.242.27:8000
湖南卫视4K,http://39.84.70.176:4000/udp/239.253.242.28:8000
深圳卫视4K,http://39.84.70.176:4000/udp/239.253.242.61:8000
广东卫视4K,http://39.84.70.176:4000/udp/239.253.242.108:8000
四川卫视4K,http://39.84.70.176:4000/udp/239.253.242.123:8000
东方卫视4K,http://39.84.70.176:4000/udp/239.253.242.176:8000
北京卫视4K,http://39.84.70.176:4000/udp/239.253.242.200:8000
浙江卫视4K,http://27.208.166.188:8000/udp/239.253.242.27:8000
湖南卫视4K,http://27.208.166.188:8000/udp/239.253.242.28:8000
深圳卫视4K,http://27.208.166.188:8000/udp/239.253.242.61:8000
广东卫视4K,http://27.208.166.188:8000/udp/239.253.242.108:8000
四川卫视4K,http://27.208.166.188:8000/udp/239.253.242.123:8000
东方卫视4K,http://27.208.166.188:8000/udp/239.253.242.176:8000
北京卫视4K,http://27.208.166.188:8000/udp/239.253.242.200:8000
北京卫视4K,http://183.188.229.129:6000/rtp/226.0.2.155:9172
深圳卫视4K,http://183.188.229.129:6000/rtp/226.0.1.244:2119
广东卫视4K,http://183.188.229.129:6000/rtp/226.0.1.245:2120
东方卫视4K,http://183.188.229.129:6000/rtp/226.0.1.248:2121
江苏卫视4K,http://183.188.229.129:6000/rtp/226.0.1.249:2122
浙江卫视4K,http://183.188.229.129:6000/rtp/226.0.1.247:2123
山东卫视4K,http://183.188.229.129:6000/rtp/226.0.1.251:2124
湖南卫视4K,http://183.188.229.129:6000/rtp/226.0.1.246:2125
四川卫视4K,http://183.188.229.129:6000/rtp/226.0.1.250:2126
北京卫视4K,http://124.163.112.121:6001/rtp/226.0.2.155:9172
深圳卫视4K,http://124.163.112.121:6001/rtp/226.0.1.244:2119
广东卫视4K,http://124.163.112.121:6001/rtp/226.0.1.245:2120
东方卫视4K,http://124.163.112.121:6001/rtp/226.0.1.248:2121
江苏卫视4K,http://124.163.112.121:6001/rtp/226.0.1.249:2122
浙江卫视4K,http://124.163.112.121:6001/rtp/226.0.1.247:2123
山东卫视4K,http://124.163.112.121:6001/rtp/226.0.1.251:2124
湖南卫视4K,http://124.163.112.121:6001/rtp/226.0.1.246:2125
四川卫视4K,http://124.163.112.121:6001/rtp/226.0.1.250:2126
CCTV-16奥林匹克4K,http://183.151.27.135:4022/udp/233.50.201.63:5140
CCTV-16奥林匹克4K,http://125.126.132.138:3000/udp/233.50.201.63:5140

上海电信,#genre#
CCTV1HD,http://124.77.192.71:4022/rtp/233.18.204.168:5140
CCTV1HD,http://124.77.192.71:4022/rtp/233.18.204.52:5140
CCTV2HD,http://124.77.192.71:4022/rtp/233.18.204.68:5140
CCTV3HD,http://124.77.192.71:4022/rtp/233.18.204.69:5140
CCTV4HD,http://124.77.192.71:4022/rtp/233.18.204.70:5140
CCTV5HD,http://124.77.192.71:4022/rtp/233.18.204.71:5140
CCTV5+HD,http://124.77.192.71:4022/rtp/233.18.204.67:5140
CCTV6HD,http://124.77.192.71:4022/rtp/233.18.204.72:5140
CCTV7HD,http://124.77.192.71:4022/rtp/233.18.204.73:5140
CCTV8HD,http://124.77.192.71:4022/rtp/233.18.204.74:5140
CCTV9HD,http://124.77.192.71:4022/rtp/233.18.204.75:5140
CCTV10HD,http://124.77.192.71:4022/rtp/233.18.204.76:5140
CCTV11HD,http://124.77.192.71:4022/rtp/233.18.204.77:5140
CCTV12HD,http://124.77.192.71:4022/rtp/233.18.204.78:5140
CCTV13HD,http://124.77.192.71:4022/rtp/233.18.204.79:5140
CCTV14HD,http://124.77.192.71:4022/rtp/233.18.204.80:5140
CCTV15HD,http://124.77.192.71:4022/rtp/233.18.204.81:5140
CCTV16HD,http://124.77.192.71:4022/rtp/233.18.204.82:5140
CCTV17HD,http://124.77.192.71:4022/rtp/233.18.204.83:5140
CETV1HD,http://124.77.192.71:4022/rtp/233.18.204.98:5140
CETV4HD,http://124.77.192.71:4022/rtp/233.18.204.111:5140
CETV早期教育HD,http://124.77.192.71:4022/rtp/233.18.204.187:5140
CHC影迷电影HD,http://124.77.192.71:4022/rtp/233.18.204.175:5140
CHC家庭影院HD,http://124.77.192.71:4022/rtp/233.18.204.173:5140
CHC动作电影HD,http://124.77.192.71:4022/rtp/233.18.204.174:5140
第一剧场HD,http://124.77.192.71:4022/rtp/233.18.204.184:5140
风云剧场HD,http://124.77.192.71:4022/rtp/233.18.204.183:5140
风云足球HD,http://124.77.192.71:4022/rtp/233.18.204.176:5140
风云音乐HD,http://124.77.192.71:4022/rtp/233.18.204.185:5140
世界地理HD,http://124.77.192.71:4022/rtp/233.18.204.179:5140
怀旧剧场HD,http://124.77.192.71:4022/rtp/233.18.204.182:5140
兵器科技HD,http://124.77.192.71:4022/rtp/233.18.204.178:5140
女性时尚HD,http://124.77.192.71:4022/rtp/233.18.204.180:5140
高尔夫网球HD,http://124.77.192.71:4022/rtp/233.18.204.181:5140
央视台球HD,http://124.77.192.71:4022/rtp/233.18.204.177:5140
法治天地HD,http://124.77.192.71:4022/rtp/233.18.204.49:5140
游戏风云HD,http://124.77.192.71:4022/rtp/233.18.204.44:5140
茶频道HD,http://124.77.192.71:4022/rtp/233.18.204.43:5140
金色学堂HD,http://124.77.192.71:4022/rtp/233.18.204.66:5140
金鹰纪实HD,http://124.77.192.71:4022/rtp/233.18.204.104:5140
快乐垂钓HD,http://124.77.192.71:4022/rtp/233.18.204.42:5140
生活时尚HD,http://124.77.192.71:4022/rtp/233.18.204.45:5140
乐游HD,http://124.77.192.71:4022/rtp/233.18.204.47:5140
动漫秀场HD,http://124.77.192.71:4022/rtp/233.18.204.46:5140
动漫秀场HD,http://124.77.192.71:4022/rtp/233.18.204.54:5140
重庆卫视HD,http://124.77.192.71:4022/rtp/233.18.204.100:5140
江苏卫视HD,http://124.77.192.71:4022/rtp/233.18.204.85:5140
浙江卫视HD,http://124.77.192.71:4022/rtp/233.18.204.84:5140
东方卫视HD,http://124.77.192.71:4022/rtp/233.18.204.51:5140
深圳卫视HD,http://124.77.192.71:4022/rtp/233.18.204.89:5140
北京卫视HD,http://124.77.192.71:4022/rtp/233.18.204.87:5140
山东卫视HD,http://124.77.192.71:4022/rtp/233.18.204.91:5140
天津卫视HD,http://124.77.192.71:4022/rtp/233.18.204.97:5140
贵州卫视HD,http://124.77.192.71:4022/rtp/233.18.204.101:5140
云南卫视HD,http://124.77.192.71:4022/rtp/233.18.204.106:5140
广西卫视HD,http://124.77.192.71:4022/rtp/233.18.204.107:5140
黑龙江卫视HD,http://124.77.192.71:4022/rtp/233.18.204.90:5140
安徽卫视HD,http://124.77.192.71:4022/rtp/233.18.204.93:5140
山西卫视HD,http://124.77.192.71:4022/rtp/233.18.204.211:5140
江西卫视HD,http://124.77.192.71:4022/rtp/233.18.204.95:5140
湖北卫视HD,http://124.77.192.71:4022/rtp/233.18.204.92:5140
旅游卫视HD,http://124.77.192.71:4022/rtp/233.18.204.102:5140
陕西卫视HD,http://124.77.192.71:4022/rtp/233.18.204.223:5140
东南卫视HD,http://124.77.192.71:4022/rtp/233.18.204.94:5140
吉林卫视HD,http://124.77.192.71:4022/rtp/233.18.204.108:5140
辽宁卫视HD,http://124.77.192.71:4022/rtp/233.18.204.96:5140
内蒙古卫视HD,http://124.77.192.71:4022/rtp/233.18.204.217:5140
湖南卫视HD,http://124.77.192.71:4022/rtp/233.18.204.86:5140
广东卫视HD,http://124.77.192.71:4022/rtp/233.18.204.88:5140
河南卫视HD,http://124.77.192.71:4022/rtp/233.18.204.105:5140
河北卫视HD,http://124.77.192.71:4022/rtp/233.18.204.103:5140
宁夏卫视HD,http://124.77.192.71:4022/rtp/233.18.204.230:5140
甘肃卫视HD,http://124.77.192.71:4022/rtp/233.18.204.110:5140
青海卫视HD,http://124.77.192.71:4022/rtp/233.18.204.112:5140
新疆卫视HD,http://124.77.192.71:4022/rtp/233.18.204.220:5140
西藏卫视HD,http://124.77.192.71:4022/rtp/233.18.204.222:5140
兵团卫视HD,http://124.77.192.71:4022/rtp/233.18.204.221:5140
三沙卫视HD,http://124.77.192.71:4022/rtp/233.18.204.172:5140
金鹰卡通HD,http://124.77.192.71:4022/rtp/233.18.204.113:5140
卡酷少儿HD,http://124.77.192.71:4022/rtp/233.18.204.109:5140
上海都市HD,http://124.77.192.71:4022/rtp/233.18.204.53:5140
上海教育HD,http://124.77.192.71:4022/rtp/233.18.204.63:5140
第一财经HD,http://124.77.192.71:4022/rtp/233.18.204.65:5140
第一财经HD,http://124.77.192.71:4022/rtp/233.18.204.59:5140
五星体育HD,http://124.77.192.71:4022/rtp/233.18.204.58:5140
都市剧场HD,http://124.77.192.71:4022/rtp/233.18.204.48:5140
欢笑剧场HD,http://124.77.192.71:4022/rtp/233.18.204.50:5140
欢笑剧场HD,http://124.77.192.71:4022/rtp/233.18.204.55:5140
财富天下HD,http://124.77.192.71:4022/rtp/233.18.204.231:5140
BesTV电影介绍HD,http://124.77.192.71:4022/rtp/233.18.204.116:5140
上海新闻综合HD,http://124.77.192.71:4022/rtp/233.18.204.57:5140
文化精品HD,http://124.77.192.71:4022/rtp/233.18.204.186:5140
未知节目HD,http://124.77.192.71:4022/rtp/233.18.204.202:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.158:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.159:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.160:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.161:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.162:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.163:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.164:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.165:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.166:5140
百事通画面HD,http://124.77.192.71:4022/rtp/233.18.204.167:5140
CCTV1SD,http://124.77.192.71:4022/rtp/233.18.204.20:5140
CCTV2SD,http://124.77.192.71:4022/rtp/233.18.204.21:5140
CCTV3SD,http://124.77.192.71:4022/rtp/233.18.204.22:5140
CCTV4SD,http://124.77.192.71:4022/rtp/233.18.204.23:5140
CCTV5SD,http://124.77.192.71:4022/rtp/233.18.204.24:5140
CCTV6SD,http://124.77.192.71:4022/rtp/233.18.204.25:5140
CCTV7SD,http://124.77.192.71:4022/rtp/233.18.204.26:5140
CCTV8SD,http://124.77.192.71:4022/rtp/233.18.204.27:5140
CCTV9SD,http://124.77.192.71:4022/rtp/233.18.204.40:5140
CCTV10SD,http://124.77.192.71:4022/rtp/233.18.204.29:5140
CCTV11SD,http://124.77.192.71:4022/rtp/233.18.204.30:5140
CCTV12SD,http://124.77.192.71:4022/rtp/233.18.204.31:5140
CCTV13SD,http://124.77.192.71:4022/rtp/233.18.204.32:5140
CCTV14SD,http://124.77.192.71:4022/rtp/233.18.204.33:5140
CCTV15SD,http://124.77.192.71:4022/rtp/233.18.204.34:5140
CCTV17SD,http://124.77.192.71:4022/rtp/233.18.204.35:5140
CETV1SD,http://124.77.192.71:4022/rtp/233.18.204.153:5140
CETV2SD,http://124.77.192.71:4022/rtp/233.18.204.154:5140
CGTNSD,http://124.77.192.71:4022/rtp/233.18.204.28:5140
法治天地SD,http://124.77.192.71:4022/rtp/233.18.204.12:5140
游戏风云SD,http://124.77.192.71:4022/rtp/233.18.204.13:5140
金色学堂SD,http://124.77.192.71:4022/rtp/233.18.204.14:5140
重庆卫视SD,http://124.77.192.71:4022/rtp/233.18.204.143:5140
江苏卫视SD,http://124.77.192.71:4022/rtp/233.18.204.120:5140
东方卫视SD,http://124.77.192.71:4022/rtp/233.18.204.1:5140
深圳卫视SD,http://124.77.192.71:4022/rtp/233.18.204.146:5140
北京卫视SD,http://124.77.192.71:4022/rtp/233.18.204.210:5140
北京卫视SD,http://124.77.192.71:4022/rtp/233.18.204.118:5140
山东卫视SD,http://124.77.192.71:4022/rtp/233.18.204.125:5140
天津卫视SD,http://124.77.192.71:4022/rtp/233.18.204.129:5140
贵州卫视SD,http://124.77.192.71:4022/rtp/233.18.204.144:5140
四川卫视SD,http://124.77.192.71:4022/rtp/233.18.204.124:5140
云南卫视SD,http://124.77.192.71:4022/rtp/233.18.204.136:5140
广西卫视SD,http://124.77.192.71:4022/rtp/233.18.204.123:5140
黑龙江卫视SD,http://124.77.192.71:4022/rtp/233.18.204.139:5140
安徽卫视SD,http://124.77.192.71:4022/rtp/233.18.204.127:5140
山西卫视SD,http://124.77.192.71:4022/rtp/233.18.204.132:5140
江西卫视SD,http://124.77.192.71:4022/rtp/233.18.204.130:5140
湖北卫视SD,http://124.77.192.71:4022/rtp/233.18.204.142:5140
旅游卫视SD,http://124.77.192.71:4022/rtp/233.18.204.122:5140
陕西卫视SD,http://124.77.192.71:4022/rtp/233.18.204.135:5140
东南卫视SD,http://124.77.192.71:4022/rtp/233.18.204.128:5140
吉林卫视SD,http://124.77.192.71:4022/rtp/233.18.204.131:5140
辽宁卫视SD,http://124.77.192.71:4022/rtp/233.18.204.126:5140
内蒙古卫视SD,http://124.77.192.71:4022/rtp/233.18.204.141:5140
湖南卫视SD,http://124.77.192.71:4022/rtp/233.18.204.119:5140
广东卫视SD,http://124.77.192.71:4022/rtp/233.18.204.138:5140
河南卫视SD,http://124.77.192.71:4022/rtp/233.18.204.145:5140
河北卫视SD,http://124.77.192.71:4022/rtp/233.18.204.140:5140
宁夏卫视SD,http://124.77.192.71:4022/rtp/233.18.204.117:5140
甘肃卫视SD,http://124.77.192.71:4022/rtp/233.18.204.137:5140
青海卫视SD,http://124.77.192.71:4022/rtp/233.18.204.133:5140
新疆卫视SD,http://124.77.192.71:4022/rtp/233.18.204.147:5140
西藏卫视SD,http://124.77.192.71:4022/rtp/233.18.204.134:5140
兵团卫视SD,http://124.77.192.71:4022/rtp/233.18.204.148:5140
三沙卫视SD,http://124.77.192.71:4022/rtp/233.18.204.149:5140
延边卫视SD,http://124.77.192.71:4022/rtp/233.18.204.155:5140
金鹰卡通SD,http://124.77.192.71:4022/rtp/233.18.204.150:5140
嘉佳卡通SD,http://124.77.192.71:4022/rtp/233.18.204.151:5140
哈哈炫动SD,http://124.77.192.71:4022/rtp/233.18.204.7:5140
卡酷少儿SD,http://124.77.192.71:4022/rtp/233.18.204.152:5140
上海都市SD,http://124.77.192.71:4022/rtp/233.18.204.2:5140
东方影视SD,http://124.77.192.71:4022/rtp/233.18.204.4:5140
上海教育SD,http://124.77.192.71:4022/rtp/233.18.204.11:5140
第一财经SD,http://124.77.192.71:4022/rtp/233.18.204.5:5140
五星体育SD,http://124.77.192.71:4022/rtp/233.18.204.6:5140
财富天下SD,http://124.77.192.71:4022/rtp/233.18.204.41:5140
上海新闻综合SD,http://124.77.192.71:4022/rtp/233.18.204.189:5140
家庭理财SD,http://124.77.192.71:4022/rtp/233.18.204.157:5140
未知节目SD,http://124.77.192.71:4022/rtp/233.18.204.203:5140
渐江卫视SD,http://124.77.192.71:4022/rtp/233.18.204.121:5140

山东联通,#genre#
CCTV1,http://39.84.70.176:4000/udp/239.253.254.77:8000
CCTV2,http://39.84.70.176:4000/udp/239.253.254.232:8000
CCTV3,http://39.84.70.176:4000/udp/239.253.254.191:8000
CCTV4,http://39.84.70.176:4000/udp/239.253.254.111:8000
CCTV4,http://39.84.70.176:4000/udp/239.253.254.186:8000
CCTV4,http://39.84.70.176:4000/udp/239.253.254.187:8000
CCTV5,http://39.84.70.176:4000/udp/239.253.254.192:8000
CCTV5+,http://39.84.70.176:4000/udp/239.253.254.80:8000
CCTV6,http://39.84.70.176:4000/udp/239.253.254.193:8000
CCTV7,http://39.84.70.176:4000/udp/239.253.254.233:8000
CCTV8,http://39.84.70.176:4000/udp/239.253.254.194:8000
CCTV9,http://39.84.70.176:4000/udp/239.253.254.79:8000
CCTV10,http://39.84.70.176:4000/udp/239.253.254.234:8000
CCTV11,http://39.84.70.176:4000/udp/239.253.254.169:8000
CCTV12,http://39.84.70.176:4000/udp/239.253.254.235:8000
CCTV13,http://39.84.70.176:4000/udp/239.253.254.175:8000
CCTV14,http://39.84.70.176:4000/udp/239.253.254.236:8000
CCTV15,http://39.84.70.176:4000/udp/239.253.254.170:8000
CCTV17,http://39.84.70.176:4000/udp/239.253.254.168:8000
CETV1,http://39.84.70.176:4000/udp/239.253.254.110:8000
CETV4,http://39.84.70.176:4000/udp/239.253.254.116:8000
CGTN,http://39.84.70.176:4000/udp/239.253.254.182:8000
CGTN,http://39.84.70.176:4000/udp/239.253.254.183:8000
CGTN,http://39.84.70.176:4000/udp/239.253.254.184:8000
CGTN,http://39.84.70.176:4000/udp/239.253.254.185:8000
CGTN,http://39.84.70.176:4000/udp/239.253.254.188:8000
CGTN,http://39.84.70.176:4000/udp/239.253.254.189:8000
CHC动作电影,http://39.84.70.176:4000/udp/239.253.254.153:8000
CHC高清电影,http://39.84.70.176:4000/udp/239.253.254.154:8000
CHC家庭影院,http://39.84.70.176:4000/udp/239.253.254.152:8000
安徽卫视,http://39.84.70.176:4000/udp/239.253.254.87:8000
北京卫视,http://39.84.70.176:4000/udp/239.253.254.85:8000
茶频道,http://39.84.70.176:4000/udp/239.253.254.143:8000
东方财经,http://39.84.70.176:4000/udp/239.253.254.94:8000
东方卫视,http://39.84.70.176:4000/udp/239.253.254.86:8000
东南卫视,http://39.84.70.176:4000/udp/239.253.254.105:8000
动漫秀场,http://39.84.70.176:4000/udp/239.253.254.115:8000
都市剧场,http://39.84.70.176:4000/udp/239.253.254.98:8000
法治天地,http://39.84.70.176:4000/udp/239.253.254.96:8000
甘肃卫视,http://39.84.70.176:4000/udp/239.253.254.74:8000
广东卫视,http://39.84.70.176:4000/udp/239.253.254.90:8000
广西卫视,http://39.84.70.176:4000/udp/239.253.254.197:8000
贵州卫视,http://39.84.70.176:4000/udp/239.253.254.113:8000
海南卫视,http://39.84.70.176:4000/udp/239.253.254.179:8000
海洋,http://39.84.70.176:4000/udp/239.253.254.67:8000
河北卫视,http://39.84.70.176:4000/udp/239.253.254.112:8000
河南卫视,http://39.84.70.176:4000/udp/239.253.254.190:8000
黑龙江卫视,http://39.84.70.176:4000/udp/239.253.254.93:8000
湖北卫视,http://39.84.70.176:4000/udp/239.253.254.88:8000
湖南卫视,http://39.84.70.176:4000/udp/239.253.254.82:8000
吉林卫视,http://39.84.70.176:4000/udp/239.253.254.173:8000
江苏卫视,http://39.84.70.176:4000/udp/239.253.254.83:8000
江西卫视,http://39.84.70.176:4000/udp/239.253.254.47:8000
金色学堂,http://39.84.70.176:4000/udp/239.253.254.101:8000
金鹰纪实,http://39.84.70.176:4000/udp/239.253.254.103:8000
金鹰卡通,http://39.84.70.176:4000/udp/239.253.254.117:8000
精彩电影,http://39.84.70.176:4000/udp/239.253.254.142:8000
卡酷少儿,http://39.84.70.176:4000/udp/239.253.254.66:8000
莱西,http://39.84.70.176:4000/udp/239.253.254.247:8000
崂山,http://39.84.70.176:4000/udp/239.253.254.242:8000
梨园,http://39.84.70.176:4000/udp/239.253.254.139:8000
辽宁卫视,http://39.84.70.176:4000/udp/239.253.254.92:8000
魅力足球,http://39.84.70.176:4000/udp/239.253.254.100:8000
平度,http://39.84.70.176:4000/udp/239.253.254.248:8000
青岛李沧,http://39.84.70.176:4000/udp/239.253.254.249:8000
青岛李沧,http://39.84.70.176:4000/udp/239.253.254.250:8000
青岛李沧,http://39.84.70.176:4000/udp/239.253.254.251:8000
青岛李沧,http://39.84.70.176:4000/udp/239.253.254.252:8000
青岛李沧,http://39.84.70.176:4000/udp/239.253.254.253:8000
青岛生活,http://39.84.70.176:4000/udp/239.253.254.244:8000
青岛综合,http://39.84.70.176:4000/udp/239.253.254.243:8000
青海卫视,http://39.84.70.176:4000/udp/239.253.254.195:8000
山东教育,http://39.84.70.176:4000/udp/239.253.254.59:8000
山东农科,http://39.84.70.176:4000/udp/239.253.254.24:8000
山东齐鲁,http://39.84.70.176:4000/udp/239.253.254.114:8000
山东少儿,http://39.84.70.176:4000/udp/239.253.254.25:8000
山东生活,http://39.84.70.176:4000/udp/239.253.254.151:8000
山东体育,http://39.84.70.176:4000/udp/239.253.254.22:8000
山东卫视,http://39.84.70.176:4000/udp/239.253.254.78:8000
山东文旅,http://39.84.70.176:4000/udp/239.253.254.160:8000
山东新闻,http://39.84.70.176:4000/udp/239.253.254.23:8000
山东综艺,http://39.84.70.176:4000/udp/239.253.254.159:8000
深圳卫视,http://39.84.70.176:4000/udp/239.253.254.91:8000
生活时尚,http://39.84.70.176:4000/udp/239.253.254.99:8000
四川卫视,http://39.84.70.176:4000/udp/239.253.254.180:8000
四海钓鱼,http://39.84.70.176:4000/udp/239.253.254.109:8000
四海钓鱼,http://39.84.70.176:4000/udp/239.253.254.144:8000
天津卫视,http://39.84.70.176:4000/udp/239.253.254.89:8000
